service,primary_model,fallback_model,attack_type,attack_severity,rho,mask_id,scenario_name,trusted_service_restore_sec_cpsat,trusted_service_restore_sec_easy,trusted_service_restore_sec_heft,trusted_service_restore_sec_replica,preferred_restore_sec_cpsat,preferred_restore_sec_easy,preferred_restore_sec_heft,preferred_restore_sec_replica,preferred_recovery_action,recovery_strategy,replanned,planning_overhead_sec
detection,yolo11n,yolov5s,patch,0.0,0.4,11,rho_0.400_mask_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,12,rho_0.400_mask_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,13,rho_0.400_mask_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,14,rho_0.400_mask_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,15,rho_0.400_mask_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,16,rho_0.400_mask_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,17,rho_0.400_mask_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,18,rho_0.400_mask_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,19,rho_0.400_mask_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.4,20,rho_0.400_mask_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,1,rho_0.600_mask_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,2,rho_0.600_mask_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,3,rho_0.600_mask_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,4,rho_0.600_mask_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,5,rho_0.600_mask_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,6,rho_0.600_mask_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,7,rho_0.600_mask_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,8,rho_0.600_mask_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,9,rho_0.600_mask_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,10,rho_0.600_mask_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,11,rho_0.600_mask_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,12,rho_0.600_mask_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,13,rho_0.600_mask_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,14,rho_0.600_mask_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,15,rho_0.600_mask_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,16,rho_0.600_mask_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,17,rho_0.600_mask_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,18,rho_0.600_mask_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,19,rho_0.600_mask_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.6,20,rho_0.600_mask_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,1,rho_0.800_mask_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,2,rho_0.800_mask_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,3,rho_0.800_mask_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,4,rho_0.800_mask_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,5,rho_0.800_mask_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,6,rho_0.800_mask_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,7,rho_0.800_mask_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,8,rho_0.800_mask_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,9,rho_0.800_mask_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,10,rho_0.800_mask_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,11,rho_0.800_mask_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,12,rho_0.800_mask_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,13,rho_0.800_mask_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,14,rho_0.800_mask_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,15,rho_0.800_mask_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,16,rho_0.800_mask_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,17,rho_0.800_mask_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,18,rho_0.800_mask_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,19,rho_0.800_mask_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,0.8,20,rho_0.800_mask_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.0,1.0,0,rho_1.000_nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.25,0.333,1,rho_0.333_mask_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.25,0.333,2,rho_0.333_mask_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
detection,yolo11n,yolov5s,patch,0.25,0.333,3,rho_0.333_mask_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_recovery_required,baseline_or_no_recovery,False,0.0
