case_id,variant,service,attack_type,attack_severity,rho,mask_id,scenario_name,scenario_path,preferred_recovery_action,primary_model,fallback_model,recovery_success,recovery_strategy,replanned,trusted_service_restore_sec,preferred_restore_sec,planning_overhead_sec,repeated_work_sec,n_assignments,ablation_failure_reason
rq3f_00093,full_replica,detection,pgd,0.0,0.4,4,rho_0.400_mask_04,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_04.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00097,full_replica,detection,pgd,0.0,0.4,5,rho_0.400_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_05.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00101,full_replica,detection,pgd,0.0,0.4,6,rho_0.400_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_06.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00105,full_replica,detection,pgd,0.0,0.4,7,rho_0.400_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_07.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00109,full_replica,detection,pgd,0.0,0.4,8,rho_0.400_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_08.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00113,full_replica,detection,pgd,0.0,0.4,9,rho_0.400_mask_09,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_09.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00117,full_replica,detection,pgd,0.0,0.4,10,rho_0.400_mask_10,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_10.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00121,full_replica,detection,pgd,0.0,0.4,11,rho_0.400_mask_11,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_11.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00125,full_replica,detection,pgd,0.0,0.4,12,rho_0.400_mask_12,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_12.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00129,full_replica,detection,pgd,0.0,0.4,13,rho_0.400_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_13.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00133,full_replica,detection,pgd,0.0,0.4,14,rho_0.400_mask_14,experiment2/generated/scenarios_multimask_FROZEN/rho_0.400_mask_14.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
