variant,configuration,n,success_rate_pct,trusted_restore_mean_sec,planning_overhead_mean_sec,replans
full_replica,Full REPLICA,1620,100.0,17.717994502574815,0.9584667536935965,315
no_state_reconstruction,No State Reconstruction,1620,49.382716049382715,8.687816024398881,0.6814173577566067,0
no_strategy_selection,No Strategy Selection,1620,100.0,120.76494096032437,1.1577786342758272,0
no_replanning,No Replanning,1620,100.0,17.717994502574815,0.6551648307827381,0
