case_id,service,primary_model,fallback_model,attack_type,attack_severity,attack_epsilon,attack_epsilon_255,attack_patch_side_fraction,quality_metric,quality_direction,clean_quality,attacked_quality,fallback_quality,interim_quality,restored_quality,quality_loss,interim_restoration_fraction,fallback_improves_quality,preferred_recovery_action,model_degraded,model_trusted,recovery_required,attack_wall_sec,attack_magnitude_c,clean_scaled_rmse,attacked_scaled_rmse,rho,mask_id,scenario_name,scenario_path,n_feasible_assignments,method
rq3f_00017,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,5,rho_0.333_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_05.json,30,replica
rq3f_00018,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,5,rho_0.333_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_05.json,30,heft
rq3f_00019,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,5,rho_0.333_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_05.json,30,cpsat
rq3f_00020,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,5,rho_0.333_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_05.json,30,easy
rq3f_00021,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,6,rho_0.333_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_06.json,30,replica
rq3f_00022,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,6,rho_0.333_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_06.json,30,heft
rq3f_00023,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,6,rho_0.333_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_06.json,30,cpsat
rq3f_00024,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,6,rho_0.333_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_06.json,30,easy
rq3f_00025,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,7,rho_0.333_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_07.json,30,replica
rq3f_00026,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,7,rho_0.333_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_07.json,30,heft
rq3f_00027,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,7,rho_0.333_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_07.json,30,cpsat
rq3f_00028,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,7,rho_0.333_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_07.json,30,easy
rq3f_00029,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,8,rho_0.333_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_08.json,30,replica
rq3f_00030,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,8,rho_0.333_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_08.json,30,heft
rq3f_00031,detection,yolo11n,yolov5s,pgd,0.0,0.0,0.0,0.0,map50_95,higher_is_better,0.409779,0.4097787354145484,0.479,0.4097787354145484,0.409779,2.645854516036828e-07,0.0,True,no_recovery_required,False,True,False,0.0,,,,0.333,8,rho_0.333_mask_08,experiment2/generated/scenarios_multimask_FROZEN/rho_0.333_mask_08.json,30,cpsat
