rho,REPLICA trusted restore (s),REPLICA success (%),CP-SAT trusted restore (s),CP-SAT success (%),HEFT trusted restore (s),HEFT success (%),EASY trusted restore (s),EASY success (%),REPLICA interruption reduction vs HEFT (%),REPLICA overhead (s)
1.0,0.492,100.0,71.83,100.0,71.83034186999066,100.0,71.83034186999066,100.0,99.31505268220705,0.6781819891184568
0.8,0.492,100.0,87.658,100.0,87.65816754199841,100.0,87.65816754199841,100.0,99.43872885574037,0.6766626122407615
0.6,0.492,100.0,89.542,100.0,89.54193334848242,100.0,89.54193334848242,100.0,99.45053676908536,0.6799926329404116
0.4,0.492,100.0,157.301,100.0,157.30170647178966,100.0,157.30170647178966,100.0,99.68722526218225,1.5378707647323608
0.333,0.492,100.0,157.131,100.0,157.13130372019805,100.0,157.13130372019805,100.0,99.68688607021546,1.563518731854856
