rho,method,median_sec,q1_sec,q3_sec
0.333,cpsat,0.00383401010185475,0.003701419569551875,0.00400559720583255
0.333,easy,9.971112012863159e-05,9.444053284823893e-05,0.000103388912975725
0.333,heft,6.929505616426468e-05,6.757210940122604e-05,7.143570110201836e-05
0.333,replica,1.563518731854856,0.6690213547553867,2.1117923266720027
0.4,cpsat,0.0052341516129672,0.0039012918714432998,0.00572021119296545
0.4,easy,0.0001025609672069,9.8757678642869e-05,0.000107004074379775
0.4,heft,7.279124110937119e-05,6.870110519230366e-05,7.721292786300182e-05
0.4,replica,1.5378707647323608,0.6516091835219413,2.0998413942288607
0.6,cpsat,0.00702167674899095,0.00605470873415465,0.00790021754801265
0.6,easy,0.00011085579171770001,0.00010564294643692501,0.0001173035707324
0.6,heft,8.358107879757881e-05,7.659080438315868e-05,9.149289689958097e-05
0.6,replica,0.6799926329404116,0.6552990567870438,1.561394372722134
0.8,cpsat,0.00811164313927285,0.007632015272974951,0.00845751818269485
0.8,easy,0.00011541135609145,0.00011141970753665001,0.0001204907894134
0.8,heft,9.147031232714654e-05,8.602556772530079e-05,9.724008850753307e-05
0.8,replica,0.6766626122407615,0.6598862104583532,1.5312984769698232
1.0,cpsat,0.0088220098987221,0.0084965317510068,0.00900457613170145
1.0,easy,0.0001201704144477,0.00011830637231464999,0.0001241904683411
1.0,heft,9.973067790269852e-05,9.850598871707916e-05,0.0001012007705867
1.0,replica,0.6781819891184568,0.6707377973943949,1.152009533252567
